sequence,value
HomeMenuLoggedOut-ForgotPassword-end,176
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-Notification-Edit-end,7
HomeMenuLoggedOut-LoginAttempt-ForgotPassword-LoginSuccess-LoginUserInfo-Edit-end,2
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-Edit-Delete-end,11
HomeMenuLoggedOut-Edit-EmailVerify-end,2
HomeMenuLoggedOut-LoginAttempt-LoginUserInfo-end,8
HomeMenuLoggedOut-LoginAttempt-ForgotPassword-Truecaller-LoginUserInfo-LoginSuccess-end,1
HomeMenuLoggedOut-LoginAttempt-LoginUserInfo-LoginSuccess-UpdateFlowSkip-UpdateFlow-end,1
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-Edit-Apply-end,5
HomeMenuLoggedOut-LoginAttempt-ForgotPassword-Edit-Notification-end,1
HomeMenuLoggedOut-LoginAttempt-LoginUserInfo-LoginSuccess-Apply-RateApp-end,1
HomeMenuLoggedOut-LoginAttempt-LoginUserInfo-LoginSuccess-NotificationJobAlert-end,7
HomeMenuLoggedOut-LoginAttempt-LoginUserInfo-LoginSuccess-NotificationJobAlert-Apply-end,1
HomeMenuLoggedOut-LoginUserInfo-LoginSuccess-end,8
HomeMenuLoggedOut-Apply-end,4
HomeMenuLoggedOut-EmailVerify-Edit-end,1
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-end,290
HomeMenuLoggedOut-LoginUserInfo-LoginSuccess-Search-EmailVerify-end,1
HomeMenuLoggedOut-LoginAttempt-Truecaller-end,4
HomeMenuLoggedOut-LoginAttempt-UpdateFlowSkip-ViewSimilarJobs-Logout-ForgotPassword-end,1
HomeMenuLoggedOut-LoginAttempt-LoginUserInfo-LoginSuccess-Edit-Search-end,8
HomeMenuLoggedOut-LoginAttempt-LoginUserInfo-LoginSuccess-Notification-end,26
HomeMenuLoggedOut-LoginAttempt-ForgotPassword-LoginSuccess-LoginUserInfo-NotificationJobAlert-end,1
HomeMenuLoggedOut-LoginUserInfo-LoginSuccess-LoginAttempt-end,4
HomeMenuLoggedOut-LoginAttempt-LoginUserInfo-LoginSuccess-ShineLearning-Notification-end,1
HomeMenuLoggedOut-Search-Apply-RateApp-Edit-EmailVerify-end,1
HomeMenuLoggedOut-LoginAttempt-LoginUserInfo-LoginSuccess-NotificationJobAlert-Logout-end,2
HomeMenuLoggedOut-LoginAttempt-Notification-NotificationProfileViews-end,1
HomeMenuLoggedOut-LoginUserInfo-LoginSuccess-Edit-end,3
HomeMenuLoggedOut-Search-ViewSimilarJobs-end,1
HomeMenuLoggedOut-Search-LoginAttempt-end,14
HomeMenuLoggedOut-Notification-NotificationJobAlert-Edit-end,1
HomeMenuLoggedOut-Truecaller-Search-LoginAttempt-end,1
HomeMenuLoggedOut-Search-Logout-LoginAttempt-ForgotPassword-end,1
HomeMenuLoggedOut-LoginAttempt-Edit-Search-Apply-end,1
HomeMenuLoggedOut-LoginAttempt-LoginUserInfo-LoginSuccess-Delete-end,5
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-Notification-NotificationProfileViews-end,26
HomeMenuLoggedOut-LoginAttempt-LoginUserInfo-LoginSuccess-EmailVerify-end,1
HomeMenuLoggedOut-Search-ForgotPassword-end,1
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-Apply-Notification-end,8
HomeMenuLoggedOut-Edit-Search-end,2
HomeMenuLoggedOut-LoginAttempt-LoginUserInfo-LoginSuccess-Apply-UpdateFlowSkip-end,22
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-Edit-Search-end,8
HomeMenuLoggedOut-LoginAttempt-LoginUserInfo-LoginSuccess-Apply-Search-end,3
HomeMenuLoggedOut-LoginUserInfo-LoginAttempt-end,1
HomeMenuLoggedOut-ForgotPassword-LoginAttempt-ShineLearning-end,1
HomeMenuLoggedOut-LoginAttempt-LoginUserInfo-LoginSuccess-ViewSimilarJobs-Edit-end,1
HomeMenuLoggedOut-Edit-EmailVerify-NotificationRecruiterMail-end,1
HomeMenuLoggedOut-LoginAttempt-ForgotPassword-Edit-Logout-end,1
HomeMenuLoggedOut-Search-LoginAttempt-LoginSuccess-LoginUserInfo-end,2
HomeMenuLoggedOut-ForgotPassword-LoginAttempt-LoginUserInfo-LoginSuccess-Apply-end,5
HomeMenuLoggedOut-LoginSuccess-LoginUserInfo-Search-Edit-Apply-end,1
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-Logout-ForgotPassword-end,1
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-Savejobs-end,1
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-ViewSimilarJobs-Apply-end,1
HomeMenuLoggedOut-ForgotPassword-LoginAttempt-LoginSuccess-LoginUserInfo-Apply-end,6
HomeMenuLoggedOut-ForgotPassword-LoginAttempt-LoginUserInfo-LoginSuccess-Search-end,1
HomeMenuLoggedOut-Logout-LoginUserInfo-LoginSuccess-end,1
HomeMenuLoggedOut-LoginSuccess-LoginUserInfo-NotificationRecruiterMail-Apply-UpdateFlowSkip-end,1
HomeMenuLoggedOut-LoginUserInfo-LoginSuccess-Search-end,1
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-Delete-ProfileViews-end,1
HomeMenuLoggedOut-LoginAttempt-end,280
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-Apply-end,1
HomeMenuLoggedOut-LoginAttempt-LoginUserInfo-LoginSuccess-Notification-Edit-end,8
HomeMenuLoggedOut-Notification-LoginSuccess-end,1
HomeMenuLoggedOut-LoginAttempt-GCMOpened-end,1
HomeMenuLoggedOut-LoginAttempt-LoginUserInfo-LoginSuccess-Notification-Delete-end,1
HomeMenuLoggedOut-LoginAttempt-Edit-end,4
HomeMenuLoggedOut-LoginAttempt-LoginUserInfo-LoginSuccess-Add-Edit-end,2
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-ViewSimilarJobs-Notification-end,1
HomeMenuLoggedOut-ViewSimilarJobs-end,1
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-Savejobs-Search-end,1
