sequence,value
HomeMenuLoggedOut-Notification-UpdateFlowSkip-UpdateFlow-Apply-ViewSimilarJobs-end,1
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-NotificationJobAlert-Delete-end,1
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-Notification-NotificationRecruiterMail-end,23
HomeMenuLoggedOut-LoginAttempt-LoginUserInfo-LoginSuccess-NotificationJobAlert-Edit-end,1
HomeMenuLoggedOut-LoginAttempt-NotificationJobAlert-end,2
HomeMenuLoggedOut-LoginAttempt-LoginUserInfo-LoginSuccess-Apply-Edit-end,1
HomeMenuLoggedOut-LoginUserInfo-LoginSuccess-Notification-NotificationProfileViews-Apply-end,1
HomeMenuLoggedOut-LoginSuccess-LoginUserInfo-LoginAttempt-Edit-end,1
HomeMenuLoggedOut-LoginAttempt-LoginUserInfo-Notification-Apply-ProfileViews-end,1
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-UpdateFlow-UpdateFlowSkip-end,1
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-Delete-Search-end,1
HomeMenuLoggedOut-Logout-LoginAttempt-ForgotPassword-end,1
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-ProfileViews-Apply-end,1
HomeMenuLoggedOut-Edit-Apply-end,2
HomeMenuLoggedOut-ForgotPassword-LoginAttempt-LoginSuccess-LoginUserInfo-Search-end,3
HomeMenuLoggedOut-Logout-LoginAttempt-LoginUserInfo-LoginSuccess-Edit-end,1
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-NotificationProfileViews-ProfileViews-end,1
HomeMenuLoggedOut-ForgotPassword-NotificationJobAlert-NotificationProfileViews-Edit-end,1
HomeMenuLoggedOut-LoginAttempt-LoginUserInfo-Notification-NotificationProfileViews-end,1
HomeMenuLoggedOut-LoginAttempt-Apply-UpdateFlow-ViewSimilarJobs-end,1
HomeMenuLoggedOut-Truecaller-LoginAttempt-LoginUserInfo-LoginSuccess-end,2
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-Delete-end,5
HomeMenuLoggedOut-Edit-Delete-end,1
HomeMenuLoggedOut-LoginAttempt-Notification-end,1
HomeMenuLoggedOut-LoginAttempt-LoginUserInfo-LoginSuccess-Edit-Add-end,6
HomeMenuLoggedOut-LoginAttempt-ForgotPassword-LoginUserInfo-LoginSuccess-Apply-end,3
HomeMenuLoggedOut-LoginUserInfo-GCMOpened-end,1
HomeMenuLoggedOut-Delete-Notification-Search-Apply-UpdateFlow-end,1
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-Notification-Add-end,1
HomeMenuLoggedOut-LoginAttempt-LoginUserInfo-LoginSuccess-Search-end,17
HomeMenuLoggedOut-LoginAttempt-LoginUserInfo-LoginSuccess-ShineLearning-FeedbackSend-end,1
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-NotificationJobAlert-Search-end,1
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-Edit-Logout-end,6
HomeMenuLoggedOut-LoginAttempt-ForgotPassword-Search-LoginUserInfo-LoginSuccess-end,1
HomeMenuLoggedOut-LoginAttempt-LoginUserInfo-LoginSuccess-Edit-end,47
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-NotificationRecruiterMail-Apply-end,1
HomeMenuLoggedOut-LoginAttempt-ForgotPassword-LoginSuccess-LoginUserInfo-Search-end,2
HomeMenuLoggedOut-Edit-Delete-Apply-UpdateFlow-end,1
HomeMenuLoggedOut-LoginAttempt-Edit-Apply-UpdateFlow-UpdateFlowSkip-end,1
HomeMenuLoggedOut-Apply-RateApp-end,1
HomeMenuLoggedOut-LoginUserInfo-NotificationJobAlert-SaveJobAlert-end,1
HomeMenuLoggedOut-Apply-UpdateFlowSkip-Notification-end,1
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-Apply-ViewSimilarJobs-end,7
HomeMenuLoggedOut-LoginAttempt-LoginUserInfo-LoginSuccess-Apply-NotificationJobAlert-end,1
HomeMenuLoggedOut-ForgotPassword-Notification-NotificationJobAlert-end,1
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-Notification-Apply-end,3
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-UpdateFlowSkip-Search-end,1
HomeMenuLoggedOut-LoginUserInfo-Apply-UpdateFlowSkip-ViewSimilarJobs-end,1
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-UpdateFlow-Apply-end,1
HomeMenuLoggedOut-Search-Apply-UpdateFlow-end,1
HomeMenuLoggedOut-Edit-EmailVerify-Delete-Notification-end,1
HomeMenuLoggedOut-end,4
HomeMenuLoggedOut-LoginAttempt-ForgotPassword-LoginUserInfo-LoginSuccess-Search-end,2
HomeMenuLoggedOut-LoginAttempt-Search-ShineLearning-end,1
HomeMenuLoggedOut-LoginAttempt-LoginUserInfo-LoginSuccess-Logout-end,9
HomeMenuLoggedOut-LoginUserInfo-Logout-end,1
HomeMenuLoggedOut-ForgotPassword-ShareJob-end,1
HomeMenuLoggedOut-LoginAttempt-LoginUserInfo-LoginSuccess-ShineLearning-Logout-end,1
HomeMenuLoggedOut-ShineLearning-Search-end,2
HomeMenuLoggedOut-LoginAttempt-Apply-end,1
HomeMenuLoggedOut-ShineLearning-LoginAttempt-LoginUserInfo-LoginSuccess-end,1
HomeMenuLoggedOut-ForgotPassword-UpdateFlow-Notification-NotificationJobAlert-Apply-end,1
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-Logout-end,4
HomeMenuLoggedOut-LoginSuccess-LoginUserInfo-Notification-NotificationJobAlert-end,1
HomeMenuLoggedOut-LoginAttempt-LoginUserInfo-LoginSuccess-Notification-Search-end,5
HomeMenuLoggedOut-LoginAttempt-LoginUserInfo-LoginSuccess-NotificationProfileViews-Logout-end,1
HomeMenuLoggedOut-LoginAttempt-ForgotPassword-LoginUserInfo-LoginSuccess-end,13
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-Apply-Edit-end,4
HomeMenuLoggedOut-Search-LoginAttempt-LoginUserInfo-LoginSuccess-Apply-end,2
HomeMenuLoggedOut-Truecaller-Search-end,1
HomeMenuLoggedOut-LoginAttempt-LoginUserInfo-LoginSuccess-ProfileViews-Apply-end,1
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-Notification-Search-end,12
HomeMenuLoggedOut-ForgotPassword-TutorialScreen-LoginAttempt-LoginUserInfo-LoginSuccess-end,1
HomeMenuLoggedOut-Truecaller-LoginAttempt-LoginSuccess-LoginUserInfo-end,1
HomeMenuLoggedOut-Truecaller-ForgotPassword-LoginAttempt-LoginUserInfo-LoginSuccess-end,1
HomeMenuLoggedOut-LoginAttempt-Apply-UpdateFlowSkip-end,2
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-NotificationJobAlert-end,2
HomeMenuLoggedOut-LoginAttempt-ForgotPassword-Add-Delete-end,1
HomeMenuLoggedOut-LoginAttempt-LoginUserInfo-LoginSuccess-Add-end,1
HomeMenuLoggedOut-LoginAttempt-Search-Apply-UpdateFlowSkip-UpdateFlow-end,1
HomeMenuLoggedOut-LoginUserInfo-LoginSuccess-LoginAttempt-Notification-NotificationProfileViews-end,1
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-Edit-EmailVerify-end,2
HomeMenuLoggedOut-LoginUserInfo-LoginAttempt-LoginSuccess-Notification-end,1
HomeMenuLoggedOut-LoginSuccess-LoginAttempt-LoginUserInfo-Apply-UpdateFlow-end,1
HomeMenuLoggedOut-LoginUserInfo-LoginSuccess-Search-Apply-UpdateFlow-end,1
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-GCMOpened-end,1
HomeMenuLoggedOut-LoginAttempt-LoginUserInfo-LoginSuccess-UpdateFlow-Apply-end,1
HomeMenuLoggedOut-ForgotPassword-LoginAttempt-Notification-NotificationJobAlert-end,1
HomeMenuLoggedOut-LoginAttempt-LoginUserInfo-LoginSuccess-NotificationRecruiterMail-Search-end,2
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-LoginUserInfo-Search-NotificationJobAlert-end,1
HomeMenuLoggedOut-EmailVerify-Add-Edit-end,1
HomeMenuLoggedOut-ForgotPassword-LoginAttempt-EmailVerify-Edit-Notification-end,1
HomeMenuLoggedOut-LoginSuccess-LoginAttempt-LoginUserInfo-Notification-NotificationJobAlert-end,1
HomeMenuLoggedOut-LoginUserInfo-LoginAttempt-LoginSuccess-Apply-UpdateFlow-end,1
HomeMenuLoggedOut-LoginAttempt-ForgotPassword-Edit-Apply-end,1
HomeMenuLoggedOut-Search-LoginAttempt-LoginSuccess-LoginUserInfo-Apply-end,1
HomeMenuLoggedOut-Logout-LoginAttempt-LoginUserInfo-LoginSuccess-end,1
HomeMenuLoggedOut-LoginSuccess-LoginUserInfo-NotificationRecruiterMail-NotificationProfileViews-end,1
HomeMenuLoggedOut-LoginAttempt-LoginSuccess-Notification-NotificationJobAlert-UpdateFlow-end,1
