sequence,value
Apply-UpdateFlow-UpdateFlowSkip-ViewSimilarJobs-Notification-NotificationJobAlert-end,5
Apply-UpdateFlowSkip-Notification-NotificationJobAlert-FeedbackSend-NotificationProfileViews-end,1
Apply-GCMOpened-Delete-end,1
Apply-UpdateFlow-Search-end,43
Apply-Notification-NotificationJobAlert-NotificationRecruiterMail-Edit-end,1
Apply-UpdateFlow-RateApp-Notification-NotificationJobAlert-ShareJob-end,1
Apply-ViewSimilarJobs-Search-ShareJob-end,1
Apply-UpdateFlow-Notification-NotificationRecruiterMail-Search-ViewSimilarJobs-end,1
Apply-Edit-NotificationRecruiterMail-NotificationProfileViews-end,1
Apply-UpdateFlow-UpdateFlowSkip-ViewSimilarJobs-Edit-Notification-end,1
Apply-UpdateFlow-Edit-Delete-end,1
Apply-ViewSimilarJobs-Notification-NotificationJobAlert-end,26
Apply-Notification-Edit-end,4
Apply-UpdateFlowSkip-Notification-NotificationRecruiterMail-Delete-end,1
Apply-UpdateFlow-UpdateFlowSkip-NotificationProfileViews-end,4
Apply-Notification-Search-ViewSimilarJobs-RateApp-end,1
Apply-UpdateFlow-ViewSimilarJobs-Notification-NotificationJobAlert-RateApp-end,1
Apply-UpdateFlow-UpdateFlowSkip-Notification-NotificationRecruiterMail-ViewSimilarJobs-end,1
Apply-ViewSimilarJobs-Add-end,1
Apply-UpdateFlow-UpdateFlowSkip-Add-Edit-Search-end,1
Apply-Edit-Search-RateApp-end,2
Apply-Notification-NotificationRecruiterMail-Search-end,6
Apply-UpdateFlow-ViewSimilarJobs-Notification-NotificationRecruiterMail-Edit-end,1
Apply-NotificationJobAlert-Notification-Logout-end,1
Apply-UpdateFlow-Notification-NotificationRecruiterMail-GCMOpened-end,1
Apply-UpdateFlowSkip-ViewSimilarJobs-ShareJob-Notification-NotificationJobAlert-end,1
Apply-Search-ViewSimilarJobs-RateApp-end,3
Apply-Search-NotificationJobAlert-NotificationProfileViews-end,1
Apply-RateApp-ProfileViews-Edit-end,1
Apply-Notification-NotificationRecruiterMail-UpdateFlowSkip-end,1
Apply-ViewSimilarJobs-Edit-end,15
Apply-Search-SaveJobAlert-end,1
Apply-ViewSimilarJobs-Notification-NotificationJobAlert-NotificationRecruiterMail-end,5
Apply-Notification-NotificationJobAlert-RateApp-NotificationRecruiterMail-NotificationProfileViews-end,1
Apply-Savejobs-Search-end,3
